"wins","base_hits","singles","doubles","triples","homeruns","walks","b_strikeouts","stolen_bases","hits_allowed","homeruns_allowed","walks_allowed","p_strikeouts","errors","double_plays"
81,1670,1333,246,54,8,238,424,307,2060,22,643,1145,312,100
94,1657,1243,342,66,6,150,603,46,2069,12,308,1237,132,107
129,1689,1290,316,75,8,201,419,287,2073,15,388,808,306,79
108,1768,1336,303,69,23,270,432,215,2069,44,521,833,175,104
106,1720,1184,403,104,29,274,505,160,2060,56,528,974,149,104
98,1653,1073,458,101,21,213,660,145,2073,35,352,1091,212,104
90,1701,1190,234,72,205,382,678,65,2060,297,553,981,147,137
126,1561,1109,266,108,78,492,621,293,2073,113,712,898,351,91
118,1598,1156,259,114,69,601,670,278,2059,90,785,875,249,137
95,1576,1100,238,131,107,545,536,235,2059,143,730,718,318,91
92,1441,1059,176,114,92,348,676,177,1729,110,418,811,314,94
82,1564,1160,226,81,97,636,633,298,1919,119,781,777,364,83
98,1480,1111,191,106,72,631,548,286,1776,86,757,658,274,104
78,1318,1022,165,102,29,474,535,259,1462,32,526,594,310,131
70,1453,945,325,106,80,609,366,245,1816,98,747,449,387,129
90,1659,1263,230,123,43,518,367,248,2056,54,656,464,366,127
72,1664,1266,232,119,47,528,389,230,2042,58,648,477,428,95
92,1545,1246,189,91,19,514,426,238,1669,21,555,460,295,128
82,1563,1254,189,90,30,444,374,270,1711,33,486,409,392,115
75,1477,1146,234,59,38,397,443,219,1709,44,459,513,245,113
62,1457,1187,178,71,21,366,620,238,1698,24,427,723,392,101
80,1419,1210,155,47,7,417,668,263,1678,8,493,790,368,131
96,1526,1218,224,73,11,495,528,304,1791,13,581,626,369,92
98,1370,1115,166,66,23,316,518,240,1451,24,335,576,299,94
97,1322,1056,166,87,13,474,501,283,1400,14,502,670,260,105
124,1403,1113,193,76,21,477,581,302,1495,22,508,687,203,107
114,1305,1067,173,51,14,464,624,250,1391,15,495,709,225,117
104,1333,1048,206,59,20,440,618,223,1402,21,463,625,217,80
110,1299,999,215,64,21,445,686,198,1375,22,471,799,258,101
109,1402,1048,230,88,36,570,527,182,1475,38,600,554,241,116
97,1404,1012,229,106,57,615,649,225,1477,60,647,683,274,120
98,1510,1102,265,97,46,605,664,177,1631,50,653,717,269,135
93,1365,995,206,102,62,587,671,192,1445,66,622,710,275,112
82,1293,962,209,78,44,527,607,173,1360,46,554,639,326,92
71,1310,997,205,59,49,422,701,141,1387,52,447,742,293,110
105,1440,1141,206,67,26,450,431,200,1808,33,565,541,236,114
87,1358,1075,192,67,24,345,415,174,1571,28,399,480,215,101
68,1644,1298,248,59,39,363,396,74,1741,41,384,419,176,137
84,1645,1265,261,75,44,552,470,102,1730,46,581,494,212,162
87,1595,1189,256,55,95,479,510,190,1678,100,504,536,219,151
86,1502,1151,219,62,70,497,552,145,1590,74,526,584,231,162
72,1550,1119,267,74,90,418,494,99,1631,95,440,520,208,169
86,1528,1101,306,52,69,468,470,89,1607,73,492,494,170,183
90,1594,1167,282,67,78,509,521,69,1688,83,539,552,192,161
96,1536,1108,264,67,97,534,544,87,1616,102,562,572,164,185
104,1764,1237,330,49,148,628,604,110,1880,158,669,644,164,180
95,1767,1234,321,76,180,619,668,74,1905,189,651,703,179,176
88,1660,1145,358,69,88,607,674,52,1746,93,639,709,178,148
95,1598,1151,311,63,73,419,541,50,1681,77,441,569,182,154
92,1603,1166,282,47,108,402,676,63,1720,116,431,725,147,145
105,1663,1186,319,65,93,488,495,69,1749,98,513,521,196,171
98,1617,1172,266,78,101,566,522,75,1701,106,595,549,159,148
95,1529,1127,258,75,69,556,507,52,1630,74,593,540,144,161
88,1480,1042,277,65,96,550,582,64,1557,101,579,612,196,133
79,1516,1090,286,50,90,507,595,66,1595,95,533,626,209,150
74,1392,1011,251,26,104,588,705,41,1464,109,619,742,189,146
72,1431,1073,236,43,79,535,639,66,1505,83,563,672,178,178
78,1461,1128,219,59,55,608,553,56,1547,58,644,586,177,146
79,1499,1128,248,48,75,547,548,56,1577,79,575,576,195,159
103,1541,1185,241,55,60,583,486,73,1621,63,613,511,125,130
87,1423,1075,236,53,59,620,634,46,1507,62,656,671,155,126
73,1444,1076,243,50,75,495,608,23,1519,79,521,640,158,167
67,1475,1100,237,46,92,466,608,41,1552,97,490,640,181,160
64,1405,1024,223,56,102,417,603,56,1478,107,439,634,197,168
68,1374,917,237,50,170,507,812,49,1455,180,537,860,210,179
65,1396,1029,210,49,108,502,681,66,1469,114,528,716,190,169
81,1481,1086,235,47,113,444,749,53,1558,119,467,788,154,129
68,1443,1024,215,60,144,541,785,52,1518,151,569,826,203,148
67,1485,1030,241,47,167,503,729,48,1562,176,529,767,162,173
76,1363,933,198,58,174,453,853,39,1443,184,480,903,156,156
63,1348,934,212,53,149,469,816,58,1418,157,493,858,150,148
65,1380,957,235,33,155,485,1040,29,1452,163,510,1094,144,147
76,1475,1014,218,52,191,512,897,41,1552,201,539,944,158,169
78,1390,953,220,46,171,524,958,34,1462,180,551,1008,147,149
63,1360,961,224,50,125,559,944,54,1431,131,588,993,150,140
67,1435,946,250,54,185,567,1080,37,1510,195,596,1136,193,184
59,1398,1020,196,56,126,504,1044,78,1398,126,504,1044,146,171
82,1286,910,205,44,127,439,1049,68,1286,127,439,1049,155,172
72,1316,947,202,33,134,532,948,65,1316,134,532,948,171,166
59,1418,1032,203,43,140,457,998,76,1418,140,457,998,166,132
88,1382,992,212,49,129,512,918,63,1391,130,515,924,122,144
92,1400,1003,215,40,142,559,928,30,1400,142,559,928,136,149
84,1424,973,228,44,179,607,844,39,1424,179,607,844,137,146
83,1401,1037,202,34,128,527,772,44,1401,128,527,772,126,150
89,1407,1011,215,42,139,591,852,72,1471,145,618,890,138,155
77,1330,989,202,21,118,579,860,65,1338,119,583,865,158,156
66,1397,1024,221,42,110,621,857,78,1397,110,621,857,199,141
75,1419,1054,229,41,95,650,802,67,1419,95,650,802,178,152
75,1386,1041,216,24,105,490,834,74,1386,105,490,834,140,145
81,1489,1070,271,37,111,534,796,64,1489,111,534,796,153,147
79,1461,1117,224,48,72,562,746,110,1461,72,562,746,144,154
80,1494,1066,250,43,135,478,762,73,1494,135,478,762,159,163
60,1318,965,217,46,90,538,961,113,2073,142,802,1464,178,162
73,1436,1049,239,46,102,460,869,132,1436,102,460,869,132,110
71,1436,982,272,42,140,470,868,84,1436,140,470,868,115,164
97,1424,999,241,47,137,571,973,155,1433,138,575,979,122,138
77,1406,987,240,28,151,565,943,183,1415,152,569,949,135,151
71,1427,982,261,27,157,514,978,134,1445,159,520,990,126,149
76,1484,995,246,33,210,507,1071,110,1493,211,510,1078,131,155
77,1481,1060,262,46,113,403,910,120,1481,113,403,910,125,128
93,1438,1034,235,45,124,472,921,136,1438,124,472,921,119,130
77,1474,1062,240,36,136,406,869,151,1474,136,406,869,122,136
78,1412,990,235,26,161,448,890,125,1430,163,454,901,114,122
84,1521,1069,259,32,161,446,923,100,1521,161,446,923,115,162
70,1455,991,271,37,156,522,1075,99,2069,224,748,1419,116,158
82,1479,957,300,44,178,495,1072,118,1664,200,557,1206,129,129
76,1388,927,267,19,175,523,1090,108,1388,175,523,1090,104,147
68,1444,1009,269,39,127,451,1003,116,1444,127,451,1003,115,117
89,1485,992,248,34,211,597,1215,65,1476,210,593,1208,100,106
67,1411,932,255,35,189,571,1170,60,1411,189,571,1170,139,135
65,1426,948,272,23,183,632,1120,93,1426,183,632,1120,100,139
88,1409,915,268,32,194,577,1077,67,1409,194,577,1077,109,113
67,1351,863,259,29,200,585,1269,63,1351,200,585,1269,114,144
88,1431,933,302,24,172,492,1158,73,1431,172,492,1158,106,157
89,1508,936,308,29,235,489,1080,66,1508,235,489,1080,86,126
79,1506,966,323,23,194,419,920,65,1506,194,419,920,101,136
66,1496,1013,271,46,166,395,928,121,1496,166,395,928,106,122
92,1382,1035,239,53,55,547,679,180,1454,58,575,714,262,119
92,1407,1075,197,82,53,473,629,172,1500,56,504,670,242,109
89,1550,1165,236,112,37,582,485,54,1833,44,688,574,319,127
89,1509,1226,206,60,17,497,461,320,1824,21,601,557,313,151
71,1362,1079,208,58,17,384,635,213,1611,20,454,751,351,101
98,1293,1009,213,59,12,468,607,207,1378,13,499,633,231,68
100,1216,989,163,56,8,486,611,230,1305,9,521,739,261,86
93,1293,1093,160,35,5,452,597,188,1387,5,485,598,249,108
94,1201,999,155,44,3,493,654,223,1280,3,525,659,248,87
83,1183,964,155,60,4,470,654,225,1261,4,501,760,263,108
83,1503,1191,192,99,21,413,431,216,1612,23,443,367,274,105
83,1214,951,167,70,26,424,586,166,1294,28,452,625,272,111
74,1268,1004,169,75,20,429,641,176,1334,21,451,674,303,95
98,1335,1031,171,107,26,613,605,245,1404,27,645,636,234,100
94,1343,1016,204,105,18,470,622,207,1413,19,494,654,216,141
105,1348,1084,160,85,19,549,504,230,1418,20,578,530,210,123
74,1381,1121,178,72,10,490,468,152,1804,13,640,611,218,128
101,1656,1237,277,103,39,495,371,118,1742,41,521,390,204,149
65,1587,1209,255,86,37,468,499,102,1669,39,492,525,209,163
81,1539,1171,256,65,47,507,487,112,1619,49,533,512,161,139
73,1539,1168,267,60,44,560,482,201,1619,46,589,507,190,145
70,1601,1228,269,61,43,640,443,146,1695,46,678,469,244,144
83,1559,1142,315,62,40,696,426,136,1640,42,732,448,208,170
86,1597,1167,332,64,34,589,403,128,1691,36,624,427,170,129
74,1517,1112,302,65,38,522,412,95,1606,40,553,436,191,139
76,1478,1129,243,81,25,493,513,146,1555,26,519,540,194,157
63,1499,1125,256,79,39,453,465,116,1598,42,483,496,203,163
65,1574,1144,269,95,66,409,504,78,1656,69,430,530,245,143
59,1507,1153,252,73,29,511,471,100,1596,31,541,499,260,139
53,1530,1137,294,60,39,492,414,95,1641,42,528,444,286,182
72,1564,1212,249,57,46,581,449,46,1689,50,627,485,201,154
56,1487,1115,253,43,76,602,558,38,1585,81,642,595,221,134
79,1556,1153,279,45,79,618,432,49,1658,84,659,460,155,142
87,1713,1286,303,60,64,734,447,71,1838,69,787,480,180,187
90,1555,1110,295,80,70,578,470,74,1636,74,608,494,183,182
71,1575,1180,262,60,73,563,535,61,1724,80,616,586,213,170
89,1526,1169,231,59,67,609,528,119,1605,70,641,555,176,147
86,1577,1184,250,66,77,522,599,55,1659,81,549,630,195,131
81,1447,1091,258,49,49,536,501,96,1522,52,564,527,189,153
72,1330,1030,234,39,27,544,467,125,1456,30,595,511,189,158
86,1364,1078,203,48,35,590,611,182,1435,37,621,643,175,176
75,1375,1072,221,58,24,462,471,69,1446,25,486,495,193,162
77,1446,1140,222,60,24,511,508,85,1572,26,556,552,196,151
78,1435,1133,217,46,39,527,631,82,1510,41,554,664,182,179
74,1420,1099,222,43,56,518,554,96,1494,59,545,583,163,189
54,1389,1105,183,42,59,634,563,49,1480,63,676,600,164,188
63,1439,1111,181,49,98,580,595,20,1514,103,610,626,142,190
85,1528,1130,241,67,90,627,551,104,1607,95,660,580,159,185
85,1406,1073,209,40,84,569,548,64,1479,88,599,576,129,166
94,1415,1043,238,56,78,632,558,77,1489,82,665,587,131,151
99,1454,1092,214,49,99,635,564,103,1530,104,668,593,114,157
96,1474,1099,215,38,122,596,626,73,1551,128,627,659,117,155
89,1485,1076,229,45,135,651,694,74,1562,142,685,730,128,168
95,1440,1066,219,43,112,666,784,115,1515,118,701,825,113,178
86,1418,1067,201,44,106,545,704,106,1492,112,573,741,119,168
99,1394,1013,231,48,102,610,667,119,1466,107,642,702,137,148
92,1475,1062,255,40,118,596,682,128,1552,124,627,717,115,184
86,1475,1075,216,46,138,550,612,100,1475,138,550,612,128,138
85,1415,1017,250,56,92,620,674,76,1415,92,620,674,110,153
94,1379,1017,208,40,114,571,896,64,1379,114,571,896,130,163
98,1356,1026,184,40,106,562,902,75,1356,106,562,902,122,164
95,1354,991,200,38,125,533,916,50,1354,125,533,916,126,156
83,1235,915,193,40,87,476,872,153,1235,87,476,872,160,149
89,1209,905,181,34,89,480,849,124,1209,89,480,849,137,149
67,1233,960,169,33,71,397,840,90,1233,71,397,840,151,152
68,1346,997,210,27,112,552,844,54,1346,112,552,844,122,163
56,1394,1059,192,20,123,477,872,53,1394,123,477,872,165,187
79,1346,993,185,30,138,562,870,83,1346,138,562,870,160,128
92,1271,949,179,29,114,538,1042,105,1337,120,566,1096,142,143
77,1400,1023,228,38,111,537,952,83,1400,111,537,952,144,165
81,1511,1123,228,23,137,525,869,65,1530,139,532,880,149,190
75,1409,1066,210,38,95,615,805,102,1418,96,619,810,141,156
64,1419,1090,210,46,73,474,744,121,1428,73,477,749,131,156
90,1568,1070,254,52,192,559,666,42,1568,192,559,666,159,125
71,1432,1062,222,41,107,412,629,84,1441,108,415,633,139,131
74,1524,1068,294,33,129,460,676,98,1543,131,466,684,175,144
71,1426,1038,258,38,92,404,678,69,1444,93,409,686,173,164
83,1501,1138,206,41,116,492,792,131,2060,177,752,1210,133,173
87,1523,1069,266,52,136,533,866,136,1523,136,533,866,154,173
99,1439,970,270,42,157,527,888,165,1439,157,527,888,120,158
74,1360,925,225,38,172,523,883,109,1360,172,523,883,122,160
85,1386,956,247,37,146,471,843,108,1386,146,471,843,111,152
72,1335,983,197,34,121,487,940,115,1335,121,487,940,117,142
77,1427,935,283,36,173,487,971,138,1427,173,487,971,115,174
71,1335,942,225,35,133,449,914,99,1343,134,452,920,155,178
69,1502,1107,264,36,95,467,878,98,1511,96,470,883,152,177
94,1393,992,251,44,106,478,903,140,1393,106,478,903,124,169
87,1464,1060,226,39,139,610,896,134,1464,139,610,896,116,151
86,1434,1019,269,36,110,622,784,160,1434,110,622,784,129,134
94,1454,1020,228,44,162,604,834,106,1454,162,604,834,112,153
96,1624,1144,251,56,173,713,814,110,2059,248,762,1167,113,130
77,1594,1104,284,42,164,648,863,124,1793,185,729,971,122,147
85,1586,1074,284,33,195,701,927,105,1586,195,701,927,109,145
80,1516,989,291,38,198,551,916,127,1516,198,551,916,140,161
75,1573,1073,300,37,163,502,815,111,1583,164,505,820,137,149
95,1615,1041,325,33,216,591,960,119,1615,216,591,960,133,190
83,1463,920,300,29,214,520,998,123,1463,214,520,998,118,149
81,1475,940,289,29,217,555,952,75,1475,217,555,952,97,157
86,1445,903,303,19,220,519,916,77,1445,220,519,916,93,154
90,1586,1039,291,20,236,502,1056,93,1586,236,502,1056,90,145
111,1610,1313,192,95,10,207,413,217,2069,20,419,836,295,83
101,1589,1209,202,122,56,230,431,224,2073,93,380,712,401,52
101,1541,1182,162,143,54,229,600,290,1912,80,340,892,248,94
91,1513,1208,156,111,38,221,608,251,2036,55,320,879,335,94
76,1438,1103,170,112,53,439,743,217,1688,62,515,872,392,94
97,1542,1161,215,122,44,458,439,305,1850,53,550,527,428,52
97,1404,1106,160,99,39,417,671,201,1697,47,504,811,354,52
89,1523,1120,230,112,61,527,596,226,1775,71,614,695,372,64
95,1478,1114,184,147,33,531,463,221,1814,41,652,568,318,113
66,1369,1041,175,106,47,490,519,289,1619,56,579,614,406,108
89,1391,1095,167,81,48,543,512,292,1502,52,586,553,297,121
82,1512,1189,204,82,37,673,324,301,1914,47,799,410,406,131
69,1712,1274,279,83,76,633,314,268,2047,95,789,391,335,132
82,1738,1269,293,131,45,516,310,250,2047,56,643,386,366,108
93,1609,1228,269,85,27,466,268,238,1975,33,572,329,335,95
98,1543,1194,221,108,20,485,320,176,1645,21,517,341,346,163
90,1554,1217,210,113,14,524,319,246,1678,15,566,345,366,68
72,1556,1214,207,97,38,388,476,213,1813,44,452,555,397,140
86,1630,1224,266,107,33,470,368,168,1900,38,548,386,364,98
93,1410,1091,200,97,22,422,477,190,1493,23,447,473,319,86
84,1483,1178,169,107,29,460,487,192,1570,31,487,486,328,129
69,1285,1042,150,76,17,424,746,182,1379,18,455,813,279,104
70,1298,1054,133,95,16,394,640,167,1374,17,417,634,240,125
77,1166,934,136,81,15,391,555,206,1227,16,411,473,268,76
79,1395,1130,158,83,24,556,542,139,1467,25,585,570,306,108
79,1387,1077,194,94,22,507,521,263,1469,23,537,552,262,108
68,1418,1107,180,102,29,485,613,239,1501,31,514,649,266,110
63,1239,1006,149,67,17,464,660,236,1303,18,488,694,330,119
75,1392,1084,204,88,16,379,539,164,1464,17,399,567,236,156
64,1415,1109,198,93,15,383,607,166,1498,16,406,643,241,133
82,1457,1119,206,105,27,328,502,161,1533,28,345,528,260,126
86,1500,1166,209,106,19,385,383,162,1898,24,487,485,243,161
111,1393,1118,156,96,23,469,426,165,1612,27,543,493,176,113
87,1516,1238,179,80,19,404,389,167,1605,20,428,412,212,132
74,1505,1150,234,100,21,397,326,124,1594,22,420,345,204,147
90,1642,1253,238,104,47,459,401,137,1727,49,483,422,216,155
96,1584,1188,249,100,47,462,386,101,1666,49,486,406,212,151
88,1630,1224,250,118,38,370,354,109,1726,40,392,375,230,150
85,1578,1202,234,95,47,433,346,114,1671,50,458,366,215,170
79,1524,1176,235,82,31,426,352,66,1614,33,451,373,175,169
83,1544,1195,244,71,34,411,352,88,1646,36,438,375,173,207
69,1555,1165,271,83,36,433,365,141,1636,38,455,384,170,156
62,1552,1125,279,70,78,468,514,50,1633,82,492,541,169,173
61,1514,1164,254,74,22,424,487,25,1593,23,446,512,174,204
63,1503,1103,279,72,49,459,459,37,1581,52,483,483,187,136
62,1350,1053,222,39,36,372,377,32,1439,38,396,402,189,148
56,1532,1159,244,70,59,336,571,36,1644,63,360,613,194,146
72,1486,1079,258,72,77,415,579,76,1573,82,439,613,216,147
78,1553,1154,236,77,86,431,614,72,1634,90,453,646,201,158
59,1398,1033,226,62,77,460,616,56,1471,81,484,648,219,146
89,1615,1163,271,62,119,395,559,21,1744,129,427,604,183,144
102,1571,1122,283,63,103,526,566,48,1653,108,553,595,167,179
106,1511,1097,280,40,94,480,533,76,1600,100,508,564,124,167
93,1355,1029,224,35,67,502,450,72,1425,70,528,473,158,155
81,1296,973,211,42,70,515,585,45,1381,75,549,623,187,168
94,1410,1082,241,33,54,445,411,54,1483,57,468,432,145,161
64,1385,1067,232,27,59,412,560,75,1457,62,433,589,154,145
70,1328,1008,217,35,68,519,635,86,1397,72,546,668,160,202
77,1443,1043,255,45,100,567,558,48,1518,105,596,587,143,141
68,1340,957,234,39,110,506,620,44,1419,116,536,656,162,143
65,1497,1092,278,37,90,451,588,33,1575,95,474,619,143,158
70,1446,1040,272,29,105,534,526,39,1531,111,565,557,148,140
72,1377,1023,226,35,93,437,607,46,1449,98,460,639,147,148
73,1371,992,223,47,109,505,746,34,1442,115,531,785,113,153
72,1469,1058,200,36,175,510,737,26,1545,184,536,775,136,185
79,1498,1052,227,29,190,585,691,54,1576,200,615,727,146,178
84,1527,1031,264,35,197,574,791,54,1606,207,604,832,113,146
80,1430,1004,255,42,129,602,805,64,1504,136,633,847,104,156
78,1523,1047,271,36,169,525,803,68,1602,178,552,845,133,165
70,1393,962,242,42,147,539,903,77,1465,155,567,950,131,163
98,1487,1024,260,37,166,445,801,74,1564,175,468,843,141,130
98,1523,1064,252,40,167,498,903,66,1523,167,498,903,143,144
86,1333,942,225,44,122,474,960,92,1333,122,474,960,135,127
92,1383,995,220,38,130,457,974,90,1383,130,457,974,130,137
89,1544,1032,268,61,183,538,1003,82,1544,183,538,1003,117,142
77,1452,1033,235,33,151,399,888,71,1470,153,404,899,124,135
87,1366,952,251,54,109,372,969,92,1366,109,372,969,121,124
102,1498,1009,253,45,191,547,984,115,1498,191,547,984,151,173
79,1306,937,203,28,138,438,907,59,1306,138,438,907,103,174
99,1398,995,232,34,137,639,947,148,1398,137,639,947,115,162
98,1437,996,271,35,135,693,940,146,1437,135,693,940,134,151
108,1515,1076,278,37,124,691,916,168,1515,124,691,916,102,173
102,1599,1124,271,63,141,681,902,210,1599,141,681,902,102,157
88,1513,1021,269,42,181,600,911,170,1513,181,600,911,95,154
93,1387,946,272,32,137,640,905,138,1396,138,644,911,135,121
91,1454,1022,268,31,133,618,908,100,1463,134,622,914,125,153
89,1445,1031,256,45,113,537,852,156,1445,113,537,852,106,144
99,1458,1041,285,36,96,563,830,87,2021,144,801,1245,120,149
61,1375,1031,228,34,82,470,817,131,1375,82,470,817,128,158
74,1274,896,236,35,107,588,1006,154,1274,107,588,1006,114,121
70,1342,968,238,30,106,566,978,160,1342,106,566,978,139,116
90,1394,994,251,34,115,580,861,160,1403,116,584,866,122,143
86,1404,988,237,35,144,586,920,177,1404,144,586,920,140,160
84,1478,995,262,29,192,514,928,169,1478,192,514,928,128,137
88,1342,946,248,25,123,482,928,208,1350,124,485,934,122,132
75,1362,963,243,28,128,493,1028,128,1362,128,493,1028,121,108
91,1466,1017,284,40,125,466,913,166,1466,125,466,913,102,126
90,1418,994,281,44,99,563,888,125,1418,99,563,888,96,128
73,1457,1031,261,28,137,485,1025,142,1457,137,485,1025,120,133
94,1623,1096,300,51,176,551,1049,169,2069,250,783,1459,104,129
96,1492,960,312,39,181,584,1064,214,1679,204,657,1197,89,158
81,1398,912,259,36,191,604,1134,171,1398,191,604,1134,121,145
76,1386,948,269,27,142,518,1113,190,1386,142,518,1113,106,129
77,1441,977,298,28,138,608,1107,95,1441,138,608,1107,122,142
95,1527,972,310,37,208,566,1118,163,1518,207,563,1111,104,136
85,1545,1007,302,36,200,559,995,99,1545,200,559,995,111,156
66,1464,962,304,22,176,468,1172,103,1464,176,468,1172,138,136
78,1386,899,297,21,169,583,1188,116,1386,169,583,1188,120,169
69,1349,907,239,21,182,524,1326,80,1349,182,524,1326,141,152
76,1380,871,287,28,194,599,1335,77,1380,194,599,1335,113,123
73,1453,881,335,15,222,611,1303,72,1453,222,611,1303,104,133
80,1419,899,291,12,217,614,1192,124,1419,217,614,1192,128,139
70,1358,1049,170,94,45,693,624,266,1844,73,778,1011,237,137
64,1562,1232,235,81,14,289,388,149,1861,17,344,462,392,118
82,1669,1254,295,81,39,367,424,167,1988,46,437,505,342,114
89,1464,1051,267,110,36,300,689,203,1694,42,347,797,373,115
92,1438,1071,241,97,29,329,766,191,1543,31,353,822,274,92
80,1386,1069,222,76,19,301,661,198,1458,20,317,742,245,88
94,1605,1261,254,77,13,349,551,215,1699,14,370,622,230,118
91,1301,1023,194,72,12,357,595,206,1387,13,380,669,281,146
75,1288,1008,183,86,11,300,485,184,1364,12,318,520,293,116
85,1589,1230,252,86,21,375,419,221,1682,22,397,485,320,114
79,1486,1159,232,82,13,431,472,205,1573,14,456,606,303,131
92,1438,1122,220,79,17,448,594,204,1533,18,477,633,258,132
54,1336,1063,188,74,11,476,725,177,1415,12,504,768,316,126
61,1290,1005,180,84,21,522,726,147,1375,22,556,774,290,87
81,1330,999,245,69,17,549,636,168,1399,18,578,669,244,137
93,1288,978,229,67,14,578,627,221,1355,15,608,660,255,143
93,1383,1062,225,85,11,626,492,210,1764,14,799,628,264,105
98,1478,1070,296,84,28,580,428,132,1723,33,676,499,234,119
103,1656,1203,316,100,37,604,399,77,1742,39,635,420,195,130
99,1742,1230,373,95,44,655,396,53,1832,46,689,417,215,130
82,1624,1176,337,77,34,583,348,94,1708,36,613,366,211,147
87,1688,1228,319,79,62,670,407,84,1787,66,709,431,240,151
71,1673,1244,324,62,43,521,393,89,1771,46,552,416,213,138
74,1697,1281,300,61,55,547,399,95,1785,58,575,420,223,154
93,1608,1178,350,52,28,479,349,93,1692,29,504,367,181,161
70,1558,1135,340,55,28,403,388,67,1650,30,427,411,214,155
65,1615,1200,315,64,36,397,448,53,1699,38,418,471,232,197
86,1625,1162,313,84,66,483,387,80,1732,70,515,412,211,173
85,1740,1225,377,62,76,515,485,54,1830,80,542,510,247,164
82,1696,1210,338,73,75,584,455,66,1784,79,614,479,243,150
93,1646,1154,330,79,83,603,484,55,1754,88,643,516,201,137
80,1466,1095,234,83,54,481,457,39,1573,58,516,490,168,136
87,1577,1069,320,80,108,600,580,82,1659,114,631,610,165,161
92,1605,1070,320,95,120,586,645,88,1711,128,625,687,162,155
92,1567,1089,306,83,89,586,604,76,1648,94,616,635,189,156
94,1496,1024,302,64,106,546,628,56,1574,112,574,661,156,173
79,1420,962,262,88,108,539,636,66,1494,114,567,669,149,166
79,1414,1065,235,61,53,526,572,73,1487,56,553,602,171,184
87,1423,1057,260,48,58,600,552,50,1507,61,635,584,166,194
82,1395,1027,241,54,73,564,646,21,1559,82,630,722,141,166
72,1352,965,245,59,83,532,733,60,1422,87,560,771,155,155
84,1464,1046,246,54,118,528,641,31,1540,124,555,674,109,187
101,1603,1132,253,56,162,675,601,56,1675,169,705,628,119,191
94,1429,1046,204,61,118,632,562,46,1503,124,665,591,108,202
97,1491,1036,234,48,173,729,656,42,1568,182,767,690,136,158
98,1416,1013,219,37,147,637,665,55,1490,155,670,700,141,159
97,1500,1090,211,31,168,641,718,35,1578,177,674,755,133,207
117,1439,1036,198,41,164,670,703,32,1514,173,705,740,135,156
98,1394,1000,205,33,156,761,752,29,1466,164,801,791,114,160
93,1321,927,209,24,161,716,804,42,1390,169,753,846,136,137
80,1381,994,211,28,148,626,832,42,1462,157,663,881,156,163
82,1419,994,222,33,170,523,867,53,1502,180,554,918,161,181
94,1462,1033,227,26,176,455,758,35,1538,185,479,797,134,145
78,1502,1053,259,39,151,495,724,34,1511,152,498,728,140,143
80,1341,937,202,22,180,502,939,35,1341,180,502,939,139,168
79,1314,902,214,29,169,469,1102,59,1314,169,469,1102,143,129
79,1386,992,208,22,164,500,1063,79,1386,164,500,1063,118,149
81,1300,964,156,25,155,450,914,53,1300,155,450,914,138,132
75,1282,903,213,35,131,413,984,53,1282,131,413,984,115,138
87,1274,952,211,36,75,430,863,116,1282,75,433,868,127,131
62,1280,962,174,24,120,538,912,86,1288,121,541,918,143,154
76,1358,955,197,23,183,503,909,25,1358,183,503,909,133,168
60,1303,974,200,20,109,467,868,57,1303,109,467,868,116,159
75,1267,959,194,19,95,436,791,51,1316,99,453,821,115,163
71,1429,1037,205,29,158,471,793,60,1429,158,471,793,138,174
77,1395,1044,201,19,131,432,756,79,1395,131,432,756,143,157
80,1436,1050,205,25,156,535,680,108,1463,159,545,693,137,159
83,1450,1131,193,39,87,488,643,76,1477,89,497,655,123,162
70,1426,1045,227,46,108,497,711,65,1453,110,506,724,123,145
82,1397,1022,207,29,139,661,791,144,1406,140,665,796,127,150
80,1536,1181,224,41,90,625,633,119,1555,91,633,641,106,145
82,1450,1120,236,33,61,539,596,187,2040,96,752,937,137,143
70,1451,1085,249,31,86,605,691,109,1451,86,605,691,122,174
75,1498,1114,222,39,123,600,815,126,1498,123,600,815,146,163
60,1465,1064,254,31,116,492,817,132,1465,116,492,817,141,161
84,1620,1148,270,45,157,456,944,141,1620,157,456,944,156,148
61,1476,992,267,30,187,489,977,140,1476,187,489,977,152,128
78,1435,1038,235,28,134,416,866,97,1435,134,416,866,124,131
73,1340,966,221,26,127,499,934,74,1340,127,499,934,118,126
77,1465,1048,266,41,110,458,836,107,1465,110,458,836,117,146
57,1390,1049,236,26,79,449,888,84,1390,79,449,888,142,150
76,1495,1117,227,24,127,448,885,144,1495,127,448,885,141,176
76,1547,1111,264,31,141,488,843,159,1547,141,488,843,148,174
95,1670,1058,344,29,239,548,902,188,2068,343,786,1293,129,171
113,1644,1071,314,26,233,610,862,149,1850,262,686,970,114,160
100,1675,1096,337,23,219,675,849,161,1685,220,679,854,125,157
87,1599,1053,303,22,221,621,961,119,1609,222,625,967,109,160
97,1629,1079,309,32,209,743,1099,147,1629,209,743,1099,106,153
90,1639,1078,310,30,221,685,1057,113,1639,221,685,1057,72,149
91,1559,1016,294,37,212,577,1076,79,1559,212,577,1076,107,137
74,1349,876,255,26,192,542,1000,52,1349,192,542,1000,113,161
68,1413,933,296,26,158,466,1062,86,1413,158,466,1062,126,178
80,1565,1007,345,29,184,606,1009,94,1565,184,606,1009,106,152
